Machine_ID,Machine_Name,Location,Temperature,Pressure,Vibration,Current,Runtime_Hours,Last_Maintenance,Health_Status
M001,Generator,Warehouse,81.7110363677252,2.81,1.408133912006754,24.31,1617,2025-12-10,Warning
M002,Assembly Robot,Section B,58.59015439862706,3.64,0.5663399597844725,11.67,1020,2025-12-20,Healthy
M003,CNC Machine,Section B,67.05956454306373,2.21,0.6675338598647792,25.79,1224,2026-05-24,Healthy
M004,CNC Machine,Section C,78.92988290366796,3.18,0.12619313381095768,10.86,1743,2026-05-31,Healthy
M005,Generator,Warehouse,74.21420978913306,3.44,1.235209703826544,13.5,841,2026-05-09,Healthy
M006,Industrial Pump,Packaging Unit,62.052241257872495,2.38,1.3331260187761937,7.51,633,2025-09-26,Healthy
M007,Conveyor Belt,Section B,88.62485267905396,2.04,0.2468693622144293,28.36,1421,2026-05-10,Warning
M008,Conveyor Belt,Assembly Line,85.49305140082242,2.57,0.37101065088723495,8.51,368,2026-03-04,Warning
M009,Conveyor Belt,Packaging Unit,83.70529510891993,3.26,0.36694038064592605,7.88,520,2025-09-25,Healthy
M010,Generator,Section B,86.60869284675177,3.53,1.7801325291104666,23.95,872,2026-04-01,Critical
M011,Hydraulic Press,Assembly Line,87.62792389451377,3.08,1.0129289382230549,11.82,1309,2026-02-06,Warning
M012,Boiler,Section A,60.29780403314288,1.86,0.6795186182666327,28.83,1103,2025-12-15,Healthy
M013,Boiler,Section A,72.51879224170908,2.3,0.7448082116621568,10.58,553,2026-04-18,Healthy
M014,Cooling System,Section A,55.725919594270835,2.0,0.8830329251557798,26.05,581,2026-05-24,Healthy
M015,Packaging Machine,Section B,63.22386225809019,3.63,0.3939998359103237,12.68,415,2026-04-06,Healthy
M016,Assembly Robot,Assembly Line,62.242556126866106,3.93,0.2100057910385279,24.17,280,2026-04-03,Healthy
M017,CNC Machine,Packaging Unit,59.679092052869954,1.8,0.2798554708669162,26.33,705,2026-06-16,Healthy
M018,Air Compressor,Packaging Unit,72.0332420829141,3.18,0.2194850925745927,10.79,648,2026-01-01,Healthy
M019,Conveyor Belt,Section C,82.11089505123941,2.62,1.4957799703294237,20.54,521,2025-10-03,Warning
M020,Assembly Robot,Section A,87.95720181754496,1.53,0.7360198530214771,7.69,1171,2026-01-21,Warning
M021,Assembly Robot,Warehouse,83.57977312999184,2.91,0.43787150872290215,8.89,390,2025-10-09,Healthy
M022,Cooling System,Warehouse,78.34511879865168,2.09,1.427680238663881,29.44,1431,2025-12-27,Warning
M023,Industrial Pump,Packaging Unit,55.532725000580896,1.92,1.0430309108311797,25.78,1773,2025-11-30,Healthy
M024,Generator,Section B,60.517235155712,2.73,0.4428957180575056,27.0,1271,2026-03-15,Healthy
M025,Boiler,Section C,86.1885821489197,2.41,1.4775077155701375,6.34,1007,2026-05-01,Warning
M026,Cooling System,Assembly Line,61.93584340462469,2.27,0.8870033537942349,8.0,1294,2025-11-14,Healthy
M027,Hydraulic Press,Section A,71.16068509738713,1.81,0.28668050150239344,12.7,1233,2026-03-24,Healthy
M028,Hydraulic Press,Packaging Unit,74.70368940626199,2.5,1.682885072935646,21.47,741,2026-07-01,Warning
M029,Air Compressor,Packaging Unit,64.58152727139552,2.37,0.8009989434286416,5.47,1620,2026-03-15,Healthy
M030,Cooling System,Section A,83.09803030897783,2.36,1.577050243431808,22.82,715,2026-05-26,Warning
M031,Assembly Robot,Assembly Line,56.282312736608006,2.95,0.37546648707124575,14.25,639,2025-11-03,Healthy
M032,Cooling System,Section C,69.5698237643538,1.6,0.33036773281676657,16.42,788,2025-12-23,Healthy
M033,Hydraulic Press,Section C,82.72678755893268,1.5,1.4892012962067398,9.47,624,2026-04-25,Warning
M034,Boiler,Section C,88.21435716316503,1.91,0.5700314692419044,23.84,1684,2025-11-02,Warning
M035,Hydraulic Press,Section B,62.720354313578326,1.72,0.2914836800975693,5.56,940,2026-05-16,Healthy
M036,Packaging Machine,Assembly Line,59.839823559185405,1.73,0.7170682480062224,20.7,1385,2026-01-09,Healthy
M037,CNC Machine,Packaging Unit,75.19784964190497,1.86,0.10328402749870219,22.05,511,2026-04-30,Healthy
M038,Conveyor Belt,Section A,61.49412707833243,3.28,1.6303534966724513,28.88,206,2026-05-06,Warning
M039,Boiler,Section A,57.79459936949634,3.44,0.1882797713283995,13.31,1323,2026-04-12,Healthy
M040,Cooling System,Section B,59.123209286464444,1.99,1.4869964242148856,21.24,771,2026-01-04,Warning
